cik,ticker,ipo_date,permno,crsp_ticker,siccd,crsp_start,crsp_end,matched
1523836,LITB,2013-06-05,13999.0,LITB,6719.0,2024-12-31,2025-12-31,True
1024305,COTY,2013-06-12,13983.0,COTY,2844.0,2024-12-31,2025-12-31,True
1070081,PTCT,2013-06-19,13967.0,PTCT,2834.0,2024-12-31,2025-12-31,True
1537054,GOGO,2013-06-20,13956.0,GOGO,4899.0,2024-12-31,2025-12-31,True
1551182,EFF,2013-06-25,,,,,,False
1434868,ESPR,2013-06-25,13954.0,ESPR,2834.0,2024-12-31,2025-12-31,True
1557523,PGZ,2013-06-25,14003.0,PGZ,6722.0,2024-12-31,2025-12-31,True
1402057,CDW,2013-06-26,13949.0,CDW,7371.0,2024-12-31,2025-12-31,True
1549966,SAMG,2013-06-26,13969.0,SAMG,6733.0,2024-12-31,2025-12-31,True
2093101,RNA,2013-06-27,19488.0,RNA,2834.0,2024-12-31,2025-12-31,True
1275158,NDLS,2013-06-28,13959.0,NDLS,5812.0,2024-12-31,2025-12-31,True
789570,DRII,2013-07-18,,,,,,False
765880,DOC,2013-07-18,67598.0,DOC,6798.0,2024-12-31,2025-12-31,True
1571283,REXR,2013-07-18,14037.0,REXR,6798.0,2024-12-31,2025-12-31,True
1534701,PSXP,2013-07-22,,,,,,False
1439222,AGIO,2013-07-23,14044.0,AGIO,2834.0,2024-12-31,2025-12-31,True
1515940,KIO,2013-07-25,14027.0,KIO,6726.0,2024-12-31,2025-12-31,True
1423902,FISH,2013-07-25,,,,,,False
1562401,AMH,2013-07-31,14061.0,AMH,6798.0,2024-12-31,2025-12-31,True
1577437,ASC,2013-07-31,14092.0,ASC,4789.0,2024-12-31,2025-12-31,True
1575515,SFM,2013-07-31,14102.0,SFM,5411.0,2024-12-31,2025-12-31,True
1424929,FOXF,2013-08-07,14097.0,FOXF,3751.0,2024-12-31,2025-12-31,True
1423902,QEPM,2013-08-08,,,,,,False
2024996,STCK,2013-08-08,,,,,,False
1466085,IRT,2013-08-13,14071.0,IRT,6798.0,2024-12-31,2025-12-31,True
2044009,ROIQU,2013-09-16,,,,,,False
1520504,VLRS,2013-09-17,14132.0,VLRS,4512.0,2024-12-31,2025-12-31,True
2066899,MYCC,2013-09-19,,,,,,False
1158114,AAOI,2013-09-26,14145.0,AAOI,3674.0,2024-12-31,2025-12-31,True
1830918,MONT,2013-09-26,,,,,,False
1811935,PEGI,2013-09-27,,,,,,False
1384905,RNG,2013-09-27,14136.0,RNG,7374.0,2024-12-31,2025-12-31,True
1434316,FATE,2013-10-01,14245.0,FATE,2836.0,2024-12-31,2025-12-31,True
1579298,BURL,2013-10-02,14182.0,BURL,5311.0,2024-12-31,2025-12-31,True
1541401,ESRT,2013-10-02,14196.0,ESRT,6798.0,2024-12-31,2025-12-31,True
1581091,RMAX,2013-10-02,14221.0,RMAX,6799.0,2024-12-31,2025-12-31,True
1571776,CHMI,2013-10-04,14183.0,CHMI,6162.0,2024-12-31,2025-12-31,True
1323468,OCIP,2013-10-04,,,,,,False
1297996,QTS,2013-10-09,,,,,,False
1433270,AR,2013-10-10,14179.0,AR,1311.0,2024-12-31,2025-12-31,True
1125345,MGNX,2013-10-10,14257.0,MGNX,2834.0,2024-12-31,2025-12-31,True
1581990,PAGP,2013-10-16,14215.0,PAGP,4612.0,2024-12-31,2025-12-31,True
1393052,VEEV,2013-10-16,14231.0,VEEV,7372.0,2024-12-31,2025-12-31,True
1368514,ADMA,2013-10-17,15056.0,ADMA,2836.0,2024-12-31,2025-12-31,True
932021,GDEF,2013-10-25,,,,,,False
1581068,BRX,2013-10-30,14181.0,BRX,6798.0,2024-12-31,2025-12-31,True
1576427,CRTO,2013-10-30,14240.0,CRTO,7311.0,2024-12-31,2025-12-31,True
1384101,VCYT,2013-10-30,14263.0,VCYT,8071.0,2024-12-31,2025-12-31,True
1448893,ESNT,2013-10-31,14235.0,ESNT,6351.0,2024-12-31,2025-12-31,True
1578732,MMI,2013-10-31,14213.0,MMI,6531.0,2024-12-31,2025-12-31,True
1412095,QUNR,2013-11-01,,,,,,False
1552797,ARCX,2013-11-06,26736.0,ARCX,6726.0,2025-06-10,2025-12-31,True
1503802,KPTI,2013-11-06,14316.0,KPTI,2834.0,2024-12-31,2025-12-31,True
1576789,WIX,2013-11-06,14326.0,WIX,7371.0,2024-12-31,2025-12-31,True
1580670,LGIH,2013-11-07,14317.0,LGIH,1522.0,2024-12-31,2025-12-31,True
1383650,MEP,2013-11-07,,,,,,False
1578987,BANX,2013-11-07,14302.0,BANX,7389.0,2024-12-31,2025-12-31,True
1547903,NMIH,2013-11-08,14318.0,NMIH,6351.0,2024-12-31,2025-12-31,True
1364954,CHGG,2013-11-13,14273.0,CHGG,8231.0,2024-12-31,2025-12-31,True
1578453,DLNG,2013-11-13,14308.0,DLNG,4499.0,2024-12-31,2025-12-31,True
1438133,TNDM,2013-11-14,14325.0,TNDM,3841.0,2024-12-31,2025-12-31,True
1581804,NVGS,2013-11-21,14301.0,NVGS,7389.0,2024-12-31,2025-12-31,True
1507957,IPWR,2013-11-22,14313.0,IPWR,3629.0,2024-12-31,2025-12-31,True
1579157,VNCE,2013-11-22,14296.0,VNCE,5611.0,2024-12-31,2025-12-31,True
886982,GMZ,2013-11-25,,,,,,False
1326732,XNCR,2013-12-02,14359.0,XNCR,2834.0,2024-12-31,2025-12-31,True
1527636,ATHM,2013-12-10,14332.0,ATHM,6719.0,2024-12-31,2025-12-31,True
1383650,VLP,2013-12-10,,,,,,False
1584509,ARMK,2013-12-12,14329.0,ARMK,5812.0,2024-12-31,2025-12-31,True
1585689,HLT,2013-12-12,14338.0,HLT,7011.0,2024-12-31,2025-12-31,True
3570,CQH,2013-12-13,,,,,,False
1989930,FGL,2013-12-13,25722.0,FGL,9999.0,2024-12-31,2025-12-31,True
1411579,AMC,2013-12-18,14328.0,AMC,7832.0,2024-12-31,2025-12-31,True
2100125,CAMBU,2013-12-18,,,,,,False
1295401,CWAY,2014-01-14,,,,,,False
1383650,CELP,2014-01-15,,,,,,False
1562733,HELI,2014-01-17,,,,,,False
2079013,HCACU,2014-01-17,,,,,,False
1640147,SNOW,2014-01-31,19654.0,SNOW,7371.0,2024-12-31,2025-12-31,True
1590976,MBUU,2014-01-31,14434.0,MBUU,3732.0,2024-12-31,2025-12-31,True
1515673,RARE,2014-01-31,14436.0,RARE,2834.0,2024-12-31,2025-12-31,True
1580905,CBPX,2014-02-05,,,,,,False
1590560,QURE,2014-02-05,14466.0,QURE,2834.0,2024-12-31,2025-12-31,True
1577670,LADR,2014-02-06,14489.0,LADR,6798.0,2024-12-31,2025-12-31,True
1295401,TLMR,2014-02-12,,,,,,False
1580905,IBP,2014-02-13,14479.0,IBP,1742.0,2024-12-31,2025-12-31,True
1294133,INGN,2014-02-14,14459.0,INGN,3841.0,2024-12-31,2025-12-31,True
1361113,VRNS,2014-02-28,14472.0,VRNS,7372.0,2024-12-31,2025-12-31,True
1580345,TPVG,2014-03-05,14522.0,TPVG,6282.0,2024-12-31,2025-12-31,True
1595353,GLMD,2014-03-13,14540.0,GLMD,2834.0,2024-12-31,2025-12-31,True
1591698,PCTY,2014-03-19,14547.0,PCTY,8721.0,2024-12-31,2025-12-31,True
1517022,AKBA,2014-03-20,14531.0,AKBA,2834.0,2024-12-31,2025-12-31,True
1593984,MDWD,2014-03-20,14546.0,MDWD,2834.0,2024-12-31,2025-12-31,True
1410384,QTWO,2014-03-20,14516.0,QTWO,7372.0,2024-12-31,2025-12-31,True
1836295,RTGN,2014-03-20,,,,,,False
1580808,ATEN,2014-03-21,14495.0,ATEN,7373.0,2024-12-31,2025-12-31,True
1697818,AMBR,2014-03-21,,,,,,False
1508655,TSLX,2014-03-21,14520.0,TSLX,6726.0,2024-12-31,2025-12-31,True
1011060,NORD,2014-03-26,,,,,,False
1584831,OXBRU,2014-03-26,,,,,,False
